City_ID,City,Lat,lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
258,kununurra,-15.77,128.73,85.78,62,100,7.47,AU,1579969464
259,ponta delgada,37.73,-25.67,63.0,80,96,5.01,PT,1579969464
260,key west,24.56,-81.78,73.0,85,12,8.99,US,1579969464
261,pleshanovo,52.83,53.48,27.05,96,100,11.5,RU,1579969464
262,pimentel,-6.84,-79.93,72.43,90,100,7.61,PE,1579969465
263,haines junction,60.75,-137.51,-16.1,98,97,5.37,CA,1579969465
264,vao,-22.67,167.48,77.52,82,42,22.37,NC,1579969465
265,angoche,-16.23,39.91,79.7,86,96,5.19,MZ,1579969465
266,dabakala,8.37,-4.43,99.99,5,0,8.43,CI,1579969465
267,kiunga,-6.12,141.29,73.36,97,100,0.58,PG,1579969465
268,vila velha,-20.33,-40.29,78.01,79,100,3.74,BR,1579969465
269,te anau,-45.42,167.72,54.12,79,100,5.21,NZ,1579969465
270,saint-joseph,-21.37,55.62,77.0,83,75,20.8,RE,1579969466
271,ilhabela,-23.78,-45.36,76.3,71,6,10.18,BR,1579969397
272,siwana,25.63,72.42,65.62,36,26,0.81,IN,1579969466
273,aksu,41.12,80.26,24.85,72,0,5.01,CN,1579969466
274,itoman,26.12,127.67,71.01,88,100,4.0,JP,1579969466
275,ust-ilimsk,58.0,102.66,19.94,82,100,8.81,RU,1579969466
276,kabo,7.7,18.63,92.34,7,99,5.99,CF,1579969466
277,bitung,1.45,125.18,70.99,94,3,0.74,ID,1579969466
278,goderich,43.75,-81.72,37.99,94,100,1.01,CA,1579969467
279,montepuez,-13.13,39.0,78.08,87,82,3.0,MZ,1579969467
280,bereda,43.27,-7.54,57.0,71,0,1.99,ES,1579969467
281,innisfail,-17.53,146.03,76.57,92,96,4.23,AU,1579969467
282,robertsport,6.75,-11.37,81.48,76,0,10.8,LR,1579969467
283,mizdah,31.45,12.98,68.61,17,100,4.32,LY,1579969467
284,ambilobe,-13.2,49.05,79.88,84,89,2.68,MG,1579969467
285,north battleford,52.78,-108.28,27.0,94,100,3.0,CA,1579969305
286,saldanha,-33.01,17.94,69.8,83,27,5.82,ZA,1579969467
287,tres pontas,-21.37,-45.51,76.3,74,78,2.19,BR,1579969468
288,chardara,41.25,67.97,36.95,94,100,11.56,KZ,1579969468
289,georgetown,5.41,100.34,82.0,74,0,0.29,MY,1579969421
290,charters towers,-20.1,146.27,77.63,83,100,7.81,AU,1579969468
291,saint-augustin,51.23,-58.65,10.38,71,0,11.74,CA,1579969468
292,saint anthony,45.02,-93.22,30.2,86,90,9.17,US,1579969454
293,umm kaddadah,13.6,26.69,71.74,14,0,18.77,SD,1579969468
294,sao felix do xingu,-6.64,-51.99,86.65,68,99,4.25,BR,1579969412
295,ola,59.58,151.28,-12.35,94,100,15.43,RU,1579969468
296,lazaro cardenas,17.96,-102.2,75.29,76,0,3.42,MX,1579969468
297,springdale,36.19,-94.13,36.0,92,90,3.36,US,1579969469
298,mangochi,-14.48,35.26,75.61,76,18,4.32,MW,1579969469
299,billings,45.78,-108.5,41.0,50,61,1.01,US,1579969251
300,sao filipe,14.9,-24.5,76.06,55,18,21.5,CV,1579969475
301,selestat,48.26,7.46,45.0,75,0,4.0,FR,1579969475
302,kamaishi,39.27,141.88,27.59,59,79,6.04,JP,1579969475
303,staunton,38.15,-79.07,53.01,100,90,10.67,US,1579969475
304,yuli,9.7,10.27,90.5,7,83,10.63,NG,1579969437
305,nyurba,63.28,118.33,-22.32,97,100,6.6,RU,1579969475
306,prince rupert,54.32,-130.32,42.19,86,100,12.91,CA,1579969257
307,anchorage,61.22,-149.9,1.0,69,1,8.46,US,1579969476
308,suslovo,56.22,88.12,26.64,80,100,20.51,RU,1579969476
309,palana,59.12,159.97,25.39,74,100,19.3,RU,1579969476
310,norman wells,65.28,-126.83,-14.31,97,100,13.2,CA,1579969358
311,kovdor,67.57,30.48,2.3,96,78,3.18,RU,1579969476
312,pacific grove,36.62,-121.92,53.01,93,90,11.41,US,1579969333
313,nara,34.69,135.8,46.0,77,100,1.01,JP,1579969280
314,mareeba,-17.0,145.43,78.01,97,79,0.96,AU,1579969476
315,takhatgarh,25.33,73.0,62.49,36,30,1.48,IN,1579969476
316,kroya,-7.63,109.25,76.89,89,7,1.32,ID,1579969477
317,adrian,41.9,-84.04,36.0,100,90,12.75,US,1579969477
318,hithadhoo,-0.6,73.08,83.28,79,100,12.39,MV,1579969477
